Soort overlast,rank_order,year,incident_count,COVID,rel_frequency,prop_since2012,prop_sinceprevious,percentage_change_since2012,percentage_change_sinceprevious
Overlast ivm alcohol/ drugs,4,2016,29709,0,174.53198755627093,147.3788109370945,115.00824125288707,47.3788109370945,15.008241252887075
Overlast ivm alcohol/ drugs,4,2017,32429,0,189.39720800750302,159.93134382860256,108.51718969076623,59.931343828602564,8.51718969076623
Overlast ivm alcohol/ drugs,4,2018,36807,0,213.74626626745078,180.4922467555354,112.8560808874137,80.4922467555354,12.856080887413697
Overlast ivm alcohol/ drugs,4,2019,40159,0,231.65647101082752,195.61603418085045,108.37918952042256,95.61603418085045,8.379189520422557
Overlast ivm alcohol/ drugs,4,2020,46275,1,265.4056522265519,224.11461640246384,114.56863305758768,124.11461640246384,14.568633057587675
Overlast ivm alcohol/ drugs,4,2021,46015,1,262.6655086322923,221.80077634154847,98.96756396434216,121.80077634154847,-1.0324360356578381
Overlast ivm alcohol/ drugs,4,2022,56028,0,316.579529242394,267.3270111688061,120.52573285728825,167.3270111688061,20.525732857288247
Overlast ivm alcohol/ drugs,4,2023,59430,0,332.5630048251014,280.8238243261193,105.04880262503308,180.82382432611928,5.048802625033076
Overlast zwervers,5,2012,11849,0,70.74041218484147,100,NA,0,NA
Overlast zwervers,5,2013,10702,0,63.7109285192642,90.06298740922013,90.06298740922013,-9.937012590779872,-9.937012590779872
Overlast zwervers,5,2014,11484,0,68.11291918775898,96.2857256327303,106.9093180256567,-3.714274367269695,6.909318025656702
Overlast zwervers,5,2015,11523,0,68.07136125059273,96.2269785377068,99.93898670375337,-3.773021462293201,-0.0610132962466281
Overlast zwervers,5,2016,14221,0,83.54436012783091,118.09990576466151,122.7305559826798,18.099905764661514,22.730555982679803
Overlast zwervers,5,2017,16142,0,94.27517751571474,133.2691945155451,112.84445457654431,33.26919451554511,12.844454576544308
Overlast zwervers,5,2018,18889,0,109.69253738489628,155.06346937628052,116.35357288678837,55.06346937628052,16.35357288678837
Overlast zwervers,5,2019,22281,0,128.52754875849118,181.6890017867786,117.17073177686225,81.68900178677859,17.170731776862254
Overlast zwervers,5,2020,28719,1,164.71496329107174,232.84422327181107,128.1553759346786,132.84422327181107,28.155375934678602
Overlast zwervers,5,2021,26766,1,152.78724337828828,215.98297021377564,92.75856930392796,115.98297021377564,-7.241430696072044
Overlast zwervers,5,2022,33092,0,186.98239775985763,264.3218946353905,122.38089622240585,164.3218946353905,22.380896222405852
Overlast zwervers,5,2023,40525,0,226.7729390970425,320.5705651028653,121.28036746447548,220.57056510286532,21.280367464475475
